"score","text","class"
3,"alhamdulillah tahun ini sholat idul fitri sudah boleh laku berjamaah laksana sama tetap harus laksana mulai dari laksana sholat idul fitri hingga dengan silaturrahmi sama kerabat tetapprokessaatlebaranbersama laksana sama ","Positive"
5,"rt kak jomblo soonrt saja rep thrdariakungakasyik selamat hari raya idul fitri mohon maaf lahir batintt","Positive"
0," list done follow tunggu follbacknya yaselamat idul fitri mhn maaf lahir dan batin","Neutral"
5," thrdariakungakasyik selamat hari raya idul fitri mohon maaf lahir batin","Positive"
5,"taqabbalallahu minna wa minkum taqabbal ya karim selamat hari raya idul fitri man teman mohon maaf lahir dan batin ","Positive"
0," doa di hari idul fitri maksud wks","Neutral"
5,"selamat hari raya idul fitri hminal aidin walfaidzin mohon maaf lahir dan bathin eidmubarak idulfitri indonesia","Positive"
5,"rt selamat hari raya idul fitri mohon maaf lahir dan batin semua ","Positive"
0,"rt giveaway satu winner dalam rangka idul fitri h rules rep happy eid mubarak exol rt likecl","Neutral"
9," taqabbalallahu minna wa minkum minal aidin wal faizin mohon maaf lahir dan batin pak didu selamat hari raya idul fitri sehat selalu ","Positive"
0,"rt tehe agenda idul fitri ","Neutral"
1,"kepala divisi humas polri mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin kadiv humas polriirjen pol prof dari dedi prasetyo sama hum sama sama tetapprokessaatlebaranbersama laksana sama ","Positive"
4,"rt untuk teman dan sahabat semua jika ada sikap tutur kata dan tingkah laku yang tak kenan ijinkan diri lebur m","Positive"
1,"rt moga ada normal ini bisa tahan lama lama selamat raya hari raya idul fitri minal aidin wal faidzin moh","Positive"
5,"rt penyelenggaran giat ibadah di hari raya idul fitri tahun ini masih dalam ada dalam masa pandemi covid berik","Positive"
-4,"ibunda sakit catherine wilson raya idul fitri di rumahsaja ","Negative"
0,"winarti solat idul fitri sama wargamenggala ","Neutral"
5,"rt minal aidin wal faidzin mohon maaf lahir dan batinselamat hari raya idul fitri syawal hsemoga hari menang i","Positive"
4," selamat hari raya idul fitri hmohon maaf lahir dan batin erickthohirsolusirakyat","Positive"
2,"rt idm captionnya kurang meski wajah tak mampu jumpa tang tak bisa saling jabat moga coret kata ini mampu men","Positive"
-2,"enggak boleh geer itu cuma chat template idul fitri ","Negative"
4,"selamat idul fitri syawal h taqqabalallahu minna waa miinkum taqqabal ya kariiimmohon maaf lahir bathin","Positive"
4,"rt selamat hari raya idul fitri bagi yang raya warm regards teambaksomeria ","Positive"
4,"rt selamat hari raya idul fitri h ","Positive"
0,"rt horashami sian tondong halakhitafriendsclubmanghatahon ramot idul fitri syawal h ","Neutral"
9,"rt aksi anak anak bina iman gereja katolik st yohanes buat bingkis khas idul fitri bagi warga kitar gereja yang raya","Positive"
-1," kakanwil a yuspahruddin kemenkumham jateng kakanwil kemenkumham jateng serah remisi khusus idul fitri untuk warga bina","Negative"
5,"kapolri selamat hari raya idul fitri syawal h mohon sama af lahir bathin humaspoldakepri multimediapoldakepri lawancovid adaptasikebiasaanbaru disiplinbersamapolri polripresisisi prokesmudiksehat ","Positive"
4,"raja salman ucap syukur arab saudi percaya layan umat islam kumparannews ","Positive"
5,"selamat hari raya idul fitri syawal h minal aidin wal faidzin mohon sama af lahir dan batin kapolrijenderal polisi drs listyo sigit prabowo nya juliati sigit prabowo tetapprokessaatlebaranbersama laksana sama ","Positive"
1,"rt admin dan mengucapkanselamat hari raya idul fitri h mohon maaf lahir dan batin ","Positive"
4," saya ucap selamat hari raya idul fitri syawal h taqabbalallahu minna wa minkum ","Positive"
0,"balon api sambut idul fitri warga karangjati kemranjen kabupaten banyu link video klik sini lewat ","Neutral"
9,"kapolri jenderal polisi listyo sigit prabowo harap hari raya idul fitri dapat jadi momentum kuat tali saudara dan satu demi wujud indonesia yang tangguh dan tumbuh tetapprokessaatlebaranbersama laksana sama ","Positive"
8,"rt selamat hari raya idul fitri hijriyah miaw segenap keluarga besar kucing kucing di lingkung kampus ugm mohon maaf","Positive"
0,"rt erick thohir sholat ied sama keluarga di mesjid at thohir di lanjut bagi sembako kepada karyawan mesjid at thohir ","Neutral"
4,"rt ucap selamat idul fitriib habib rizieq shihabtahun h ","Positive"
-2,"rt masya allah allahu akbar shalat idul fitri di jakarta international stadium jis pecah ","Negative"
-3,"rt alhamdulillah tahun ini raya idul fitri jatuh pada hari yang sama dan bisa silaturahmi dengan suasan baru dan hang","Negative"
4,"rt selamat hari raya idul fitri ","Positive"
4,"rt kami urus ucap selamat hari raya idul fitri h moga hari yang fitri n ini kita selalu berik","Positive"
1,"rt selamat idul fitri dari admin dan keluarga mohon maaf salah dan akhlak milik akun ini ","Positive"
4,"rt sholat idul fitri syawal h di jakarta international stadium jis laksana dengan baik dan lancar ","Positive"
4,"rt selamat idul fitri ","Positive"
9,"selamat hari raya idul fitri hmohon maaf lahir dan batinsemoga puasa dan amal ibadah kita terima oleh allah swt amin selamat mam enyak semuanyaaa","Positive"
4," selamat hari raya idul fitri juga buat cipikk","Positive"
4,"rt selamat idul fitri teman teman ","Positive"
0,"rt belum ramadan take off aku minta maaf jika aku bad alive kata dan buat yang mnurutku regular trnyt mnyakiti hati kalau","Neutral"
4,"anggota satlantas polres tanggamus serta gabung personel polres tanggamus laksana giat aman malam takbir idul fitri h di jalinbar polres tanggamus ","Positive"
4,"rt ada orang anak yang lepas sholat idul fitri gegas pulang karena ia punya orang yang di sayang yang harus temu ","Positive"
0,"rt menteri bumn laksana salat idul fitri perdana di masjid at thohir depok jawa baratidul fitri h si","Neutral"
4,"rt kami segenap keluarga ucap selamat hari raya idul fitri ","Positive"
-1," kakanwil a yuspahruddin kemenkumham jateng orang wbp rutan kebumen oleh remisi khusus hari raya idul fitri h","Negative"
7,"assalamu alaikumdengan rendah hati pada sempat yang bahagia ini saya dan keluarga ucap selamat hari raya idul fitri syawal tahun hijriah mohon maaf lahir dan batin ","Positive"
8,"rt suka cita di hari raya rupa suka cita hadap karunia rahmat nya allah swt firman dengan karunia allah dan ra","Positive"
0,"rt jika dia bukan saudara agama dia saudara dalam manusia ali bin ab thalib untuk teman teman yang agama i","Neutral"
0," habis foto kita sungkem tangis terus foto pakai tripod kecil aku degdegan banget karena tripod dan hpku masih berat hpku ku setting timer detik tapi ponakan yang cewek enggak mau diam jadi enggak ada yang bagus ku lupa senyum karena tegang banget takut hpku jatuh semua selamat idul fitri ","Neutral"
5,"selamat hari raya idul fitri teman temam twitterkuuu mohon maaf lahir dan batin ","Positive"
13,"lebaran penuh berkah sholat idul fitri sudah bisa laku di masjid dan lapang tetapi tetap wajib hati protokol sehat covid dengan ketat serta indah tentu yang berlaku selalu laksana sama jangan lupa ya tetapprokessaatlebaran ","Positive"
0,"selamat hari raya idul fitri moga senantiasa selalu bisa maaf diri sendiri sama dan situasi yang sakit ","Neutral"
5," selamat hari raya idul fitri kho minal aidzin wal faidzin mohon maaf lahir batin ya ","Positive"
5," selamat hari raya idul fitri mohon maaf lahir dan batin kak fina","Positive"
-1," kakanwil a yuspahruddin kemenkumham jateng napi lapas bulu raya idul fitri bareng keluarga lewat video call","Negative"
4,"selamat idul fitrimaaf lahir batin eidmubarak","Positive"
4," selamat hari raya idul fitri","Positive"
5,"rt selamat raya hari raya idul fitri h untuk semua mohon maaf lahir dan batin ya lebaran idulfitri h","Positive"
4,"raya hari raya idul fitri dengan anggota pangdam xii tpr gelar halal bihalal sederhana tniadmengabdidanmembangunbersamarakyat ","Positive"
-1," kakanwil a yuspahruddin kemenkumham jateng orang warga bina rutan kebumen oleh remisi khusus hari raya idul fitri h karut orang langsung bebas","Negative"
4,"selamat hari raya idul fitri htaqabbalallahu minna wa minkum wa taqabbal ya kariimminal aidzin wal faidzinmohon maaf lahir dan batin ya semua sedikit thr buat kalian ","Positive"
5,"rt selamat hari raya idul fitri syawal h minal aidin wal faidzin mohon sama af lahir dan batin kapolrijenderal po","Positive"
-5," biasa a uni kan mau pilpress takut istilah idul fitri ini klaim juga ","Negative"
1,"rt selamat hari raya idul fitri h moga segala salah dan khilaf dapat maaf minal aidin wal faidzin mohon maaf l","Positive"
-1," kakanwil a yuspahruddin kemenkumham jateng lebaran idul fitri napi rutan kebumen dapat remisi khusus","Negative"
5,"selamat hari raya idul fitri taqobbalahu minna wa minkum mohon maaf lahir dan batin","Positive"
2,"raya idul fitri di seluruh dunia indonesia sukacita afghanistan landa miskin ","Positive"
7,"rt keluarga besar bawaslu kabupaten bandung ucap selamat hari raya idul fitri syawal hijriyah minal aidin","Positive"
4," selamat idul fitri pak ","Positive"
4,"h selamat hari raya idul fitri bagi yang raya ","Positive"
5,"selamat hari raya idul fitri bagi teman yang raya mohon maaf lahir dan batin selamat lebaran ","Positive"
8,"rt segenap admin penting los ucap selamat hari raya idul fitri mohon maaf lahir dan batin ","Positive"
0,"arfian idul fitri ","Neutral"
8,"keluaraga salamanca ucap selamat hari raya idul fitri sehat selalu ","Positive"
7,"penuh memblidak rapi atur bahkan ada yang malam di jis demi sholat idul fitri sama pak anis baswedan ","Positive"
9,"selamat hari raya idul fitrimari kita saling maaf karena kalo saling cinta enggak dulukarena saya cinta mas yoongi ","Positive"
4,"rt selamat hari raya idul fitri h mas tum lebaran tum cisss p dapse raihkemenanganbersama lebara","Positive"
4,"minal aidin wal faizin selamat hari raya idul fitri bagi yang raya ya ","Positive"
0," kakanwil a yuspahruddin kemenkumham jateng napi rutan salatiga dapat remisi idul fitri langsung bebas","Neutral"
6,"khutbah idul fitri kah cholil nafis di jakarta international stadium sangat cerah dan bernas terima kasih ","Positive"
-1,"sambut idul fitri h dandim sintang damping bupati pada tradisi meriam karbit ","Negative"
0,"tuna salat idul fitri puan momentum maaf dan spirit pupuk satu bangsa ","Neutral"
1,"rt kepala divisi humas polri mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lah","Positive"
4,"rt selamat hari raya idul fitri h ","Positive"
3,"rt thr alert selamat hari raya idul fitri h babu ku sayang untuk raya admin mau bagi thr nih bisa tf ke bank","Positive"
25,"selamat idul fitri teman mohon maaf lahir dan batin senang banget aku lebaran ini di jakarta sempat nikmat hidang lebarannn moga di hari raya ini hati penuh oleh suka cita dan damai sejahtera bagi semua ","Positive"
4," selamat hari raya idul fitri hmohon maaf lahir dan batin erickthohirsolusirakyat","Positive"
5," selamat hari raya idul fitri mohon maaf lahir bathin ","Positive"
4,"wakil kepala polisi daerah jawa barat mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin wakapoldabrigjen pol bariza sulfi tetapprokessaatlebaranbersama laksana sama ","Positive"
5,"eid mubarak selamat hari raya idul fitri mohon maaf lahir batin ","Positive"
5,"buat sobat muslim selamat raya hari raya idul fitri h tahun mohon maaf lahir batin ","Positive"
-5,"rt gilir idul adha diributin soal keji hadap hewan tiba tiba muncul aktivis peta dadakanskrg gilir idul fitri ya","Negative"
0," kakanwil a yuspahruddin kemenkumham jateng napi lapas semarang oleh remisi idul fitri republika online ","Neutral"
9,"rt selamat hari raya idul fitri ingat kita harus saling maaf karena kalo saling cinta aku yakin kamu enggak mau happyeidmu","Positive"
-2," btw template idul fitri sudah banyak tuh tinggal copas saja wkwkwk","Negative"
4,"rt assalamualaikum tous eid mubarak everyone taqabbal allhu minn wa minkum mau god bless everyone selamat h","Positive"
0," taqoballallohu mina waminkum syiyamana wasyiyamakum taqobal ya kariim iedmubarakselamat idul fitri maaf lahir bathin","Neutral"
0,"lebaran idul fitri orang napi lapas narkotika tanjungpinang terima remisi ","Neutral"
0," shalat juga maksud saya moment sholat idul fitri taun sekal ","Neutral"
0,"wali kota padang sidempuan sama forkopimda sholat idul fitri h di halaman masjid agung al abror padangsidempuan ","Neutral"
5,"rt penyelenggaran giat ibadah di hari raya idul fitri tahun ini masih dalam ada dalam masa pandemi covid berik","Positive"
0,"cita adalah busa mudik dan sholat idul fitri adha di istiqlal amin ","Neutral"
4,"l karsinfo amlapura senin mei banyak anak didik masyarakat lpka kelas i karangasem dengan suka cita terima remisi hari raya idul fitri tahun ","Positive"
0,"rt suasana sholat idul fitri di jakarta international stadium jis eidmubarak eidulfitr eid idulfitri h idulfitri lebar","Neutral"
5," thrdariakungakasyik selamat hari raya idul fitri mohon maaf lahir batin","Positive"
3," kasubsi ayan tahan kanwil kemenkumham sulsel rusdin rk idul fitri yang berik kepada warga bina harus penuh syarat cara administratif substantif kumhampasti kumhamsulsel rutanpinrang","Positive"
5," selamat idul fitri kak panil and team mohon maaf lahir batin ","Positive"
5,"rt penyelenggaran giat ibadah di hari raya idul fitri tahun ini masih dalam ada dalam masa pandemi covid ikut","Positive"
5," selamat hari raya idul fitri h mohon maaf lahir batin sama mbak maaf saya juga ya ","Positive"
5,"rt hai hai hai selamat hari raya idul fitri mohon maaf lahir dan batin agnezmo eidmubarak ","Positive"
5,"selamat idul fitri ya kawan mohon maaf lahir batin ","Positive"
7,"rt kami dan keluarga besar betfury id ingin ucap selamat hari raya idul fitri hidul fitri jadi momentum bagi kit","Positive"
-4,"rt idul fitri jadi idul politik lantar ceramah bahas politik fitnah membabibuta akhir jamaah banyak yang bubar kak","Negative"
5,"selamat hari raya idul fitri hminal aidzin wal faidzin mohon maaf lahir dan bathin yoharmen arnov family lebaran idulfitri h keluarga pekanbaru ","Positive"
-1,"rt saja alanallahu minal aidzin wal faizinsemoga allah swt jadi kita masuk orang orang yang kembali dan orang orang ya","Negative"
0,"lanud supadio gelar shalat idul fitri h sama dengan imam khatib ustadz h makful shafwan langsung di military appron lanud supadio kubu raya senin ","Neutral"
-1,"kakanwil kemenkumham jateng a yuspahruddinlapas brebes laksana shalat idul fitri lanjut beri remisi khusus hari raya kumhampasti bhpsemarang ayuspahruddin kemenkumhamjateng idulfitri h","Negative"
5,"selamat hari raya idul fitri h mohon maaf lahir dan batin taqabbalallahu minna waminkum minal aidin wal faizin","Positive"
4,"selamat hari raya idul fitri bagi teman yang raya ","Positive"
5,"selamat hari raya idul fitri buat semua umat muslim yang baca ini kenal atau enggak kenal mohon maaf lahir batin ya ","Positive"
0,"selamat hari raya idul fitri semuaaafifii sadar banyak salah maaf yaakeluarga inti keluarga full team ","Neutral"
12," yang minta maaf adalah yang besar hati dan yang maaf adalah yang mulia hati quotes dari film india kabhi khushi kabhi gham yang selalu ingat selamat hari raya idul fitri mutual ku mohon maaf lahir dan batin dari hati dalam moga maaf","Positive"
4,"selamat hari raya idul fitri h mtaqabalallahu minna wa minkum taqabal ya kariimminal aidin wal faidzin iedmubarak idulfitri h","Positive"
3," kepala rutan pinrang kanwil kemenkumham sulsel wahyu trah utomo damping kasubsi y rusdin serah cara simbolis rk idul fitri tahun kepada orang wakil wbp kumhampasti kumhamsulsel rutanpinrang","Positive"
1,"kepala polisi daerah jawa barat mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin kapoldairjen pol drs suntana tetapprokessaatlebaranbersama laksana sama ","Positive"
4,"rt hari kmngan tlh tb dengan ph ktulus membk pt hati untuk slig mmfkan selamat hari ry idul fitri moho maaf lahir ","Positive"
3,"rt rindu akan takbir yang sunyi kali idul fitri akhir bayar masyaallah pak anies warga tadi malam di jis ","Positive"
0,"rt menteri bumn ajak seluruh elemen bangsa jadi idul fitri bagai momentum dalam mmperkuat rasa sa","Neutral"
5," syawal h selamat lebaran idul fitri mohon maaf lahir batin ","Positive"
4," gofoodin gua saja mat btw selamat hari raya idul fitri ya ","Positive"
4,"rt selamat hari raya idul fitri h taqabbalallahu minna wa minkum shiyamana wa shiyamakum minal aidin wal faizin mau","Positive"
9,"selamat hari raya idul fitri h mohon maaf lahir dan batin untuk semua dari mamika abajih mithu dan zayn moga kita semua diberika berkah dan bahagia happyeidmubarak ","Positive"
0,"rt singapura lain daripada yang lain lebaran lusa saya keluarga lain daripada yang lain untuk yang tinggal di singapura ","Neutral"
6,"selamat hari raya idul fitri kawan haha","Positive"
0," kakanwil a yuspahruddin kemenkumham jateng napi lapas semarang oleh remisi idul fitri lima langsung bebas","Neutral"
0,"presiden jokowi serta ibu iriana shalat idul fitri di halaman gedung agung ","Neutral"
4,"rt happy eid mubarak for carats who celebrate selamat hari raya idul fitri untuk teman teman carats yang merayakanmina","Positive"
0,"rt jelang hari raya idul fitri h dpc partai demokrat kabupaten nunukan gelar aksi sosial upa bagi bingkis","Neutral"
5," thrdariakungakasyik selamat hari raya idul fitri mohon maaf lahir batinttd ","Positive"
7,"rt ucap selamat idul fitri syawal hijriyah dari wakil presiden indonesia prof dari kak h sama ruf amin lebarandi","Positive"
4,"rt selamat hari raya idul fitri syawal hijriyah moga ibadah dan kerja keras kita lama bulan ramadan jadi","Positive"
0," taqoballallohu mina waminkum syiyamana wasyiyamakum taqobal ya kariim iedmubarakselamat idul fitri maaf lahir bathinterimakasih kakak","Neutral"
0,"rt usai laksana shalat idul fitri menteri bumn erick thohir sapa dan silaturahmi dengan masyarakat yang ikut melaks","Neutral"
4,"selamat idul fitri dari kami keluarga ","Positive"
-1,"haloo mootss selamat hari raya idul fitri minal aidzin wal faidzin mohon maaf lahir batin minta maaf ya gaiss lama di akun ini aku ada salah sengaja maupun enggak","Negative"
15,"halo fitizen kami segenap keluarga besar balai sehat olahraga masyarakat bandung ucap selamat hari raya idul fitri syawal hminal aidil wal faidzinmohon maaf lahir batinsalam sehat bugar dan produktif ","Positive"
8,"with my mamsky bapake nya sudah di alam barzah di idul fitri ini enggak lupa juga buat doain bapake al fatihah moga tenang dan beri nikmat kubur amin ","Positive"
0,"dasco jadi idul fitri ajang erat satu dan saudara lebaran idulfitri h ","Neutral"
5,"selamat idul fitri h mohon maaf lahir dan batin ","Positive"
3,"alhamdulillah tahun ini sholat idul fitri sudah boleh laku berjamaah laksana sama tetap harus laksana mulai dari laksana sholat idul fitri hingga dengan silaturrahmi sama kerabat tetapprokessaatlebaranbersama laksana sama ","Positive"
7,"ucap selamat hari raya idul fitri dari raisa krisdayanti dan atiqah hasiholan moga di hari yang fitri kita semua bisa kembali fitri dan jadi manusia lebih baik tonton lebaran di kumpar di lebarandikumparan kembalidekat ","Positive"
9,"rt a care ucap selamat hari raya idul fitri h mohon maaf lahir dan batin sehat medis aplikasikesehatan","Positive"
